Customer Number;Customer Name;Age;Gender;Country;Type of Commercial;Direction of Commercial;Time on Website (Min);Items Bought on Website
0;Andres Collins;78;Man;Danmark;Sidebarreklam;Husbil-Sport;13.99;0
1;Nathan Brown;56;Man;Norge;Sidebarreklam;Husbil-Familj;13.97;1
2;Melissa Anthony;32;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
3;Jeremiah White;52;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
4;Eric Cross Jr.;38;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
5;Matthew Kelly;67;Man;Sverige;Sidebarreklam;Husbil-Lyx;13.84;3
6;Ronald Clayton;71;Man;Norge;Helsidereklam;Husbil-Lyx;4.91;1
7;Manuel Williams;33;Man;Norge;Helsidereklam;Husbil-Sport;1.17;0
8;Sarah Andrews;74;Kvinna;Norge;Helsidereklam;Husbil-Sport;6.88;0
9;Tina Anderson;21;Kvinna;Sverige;Sidebarreklam;Husbil-Sport;13.83;1
10;Pam Strickland;68;Man;Sverige;Helsidereklam;Husbil-Familj;8.83;1
11;Donna Brown;20;Man;Tyskland;Popuppreklam med musik;Husbil-Budget;0.1;0
12;George Espinoza;67;Man;Danmark;Helsidereklam;Husbil-Budget;1.87;1
13;Natasha Porter;36;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
14;Dana Gardner;52;Man;Sverige;Helsidereklam;Husbil-Lyx;6.62;1
15;Christine Reynolds;60;Man;Sverige;Sidebarreklam;Husbil-Sport;13.59;3
16;Jonathan Strickland;71;Man;Norge;Helsidereklam;Husbil-Sport;0.82;0
17;Matthew Phillips;42;Kvinna;Danmark;Helsidereklam;Husbil-Budget;5.04;1
18;Jerry Knox;33;Man;Norge;Helsidereklam;Husbil-Lyx;6.75;3
19;James George;27;Man;Norge;Sidebarreklam;Husbil-Familj;13.5;0
20;Riley Hill;26;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
21;Bryan Wolfe;71;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
22;Christopher Phillips;64;Man;Sverige;Sidebarreklam;Husbil-Lyx;13.23;2
23;Amber Edwards MD;71;Kvinna;Tyskland;Sidebarreklam;Husbil-Lyx;13.09;1
24;Michael Green;32;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
25;Patricia Thompson;46;Man;Norge;Sidebarreklam;Husbil-Lyx;12.84;0
26;Theresa Jones;32;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
27;Dillon Harris;58;Man;Sverige;Helsidereklam;Husbil-Sport;3.67;1
28;Scott Morris;31;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.1;0
29;Stephen Carpenter;47;Man;Sverige;Sidebarreklam;Husbil-Familj;12.79;1
30;Ryan Galloway;32;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
31;Matthew Christian;47;Man;Norge;Sidebarreklam;Husbil-Budget;12.69;1
32;Alejandra Steele;42;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
33;Christopher Hanson;45;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
34;Sharon Scott;36;Kvinna;Norge;Sidebarreklam;Husbil-Familj;12.63;2
35;Frank Lee;23;Man;Sverige;Sidebarreklam;Husbil-Budget;12.57;1
36;Doris Johnston;25;Man;Norge;Helsidereklam;Husbil-Sport;1.97;0
37;Lawrence Stanley;36;Man;Sverige;Sidebarreklam;Husbil-Lyx;12.52;1
38;Sandra Carlson;64;Man;Danmark;Helsidereklam;Husbil-Familj;0.67;0
39;Adam Schmidt;49;Man;Danmark;Sidebarreklam;Husbil-Familj;12.46;2
40;Denise Harris;35;Man;Norge;Helsidereklam;Husbil-Familj;1.66;1
41;Karla Pennington;61;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
42;Julie Johnson;34;Kvinna;Danmark;Helsidereklam;Husbil-Budget;9.79;3
43;Ashley Rivera;64;Man;Norge;Sidebarreklam;Husbil-Familj;12.36;2
44;Rachel Baker;44;Man;England;Helsidereklam;Husbil-Sport;4.29;2
45;Thomas Andrews;42;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
46;Jennifer Martin;73;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
47;Jose Phillips;44;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
48;James Miranda;55;Kvinna;Danmark;Sidebarreklam;Husbil-Sport;12.35;1
49;Angela Hickman;27;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
